Run:Fill,DeliveredLS,Delivered(/ub),SelectedLS,Recorded(/ub)
207920:3323,731,90515907.9431,"[84-146], [149-241], [243-261], [264-291], [294-486], [489-518], [520-598], [600-708], [710-826]",88906795.6751
207921:3323,56,5394349.47874,"[1-37], [40-58]",5322447.33989
207922:3323,255,21748465.0752,"[1-69], [71-100], [103-126], [129-242], [274-291]",21428336.3028
207924:3323,335,24382131.5213,"[1-52], [54-171], [173-178], [181-339]",24148936.6389
208307:3347,1291,123850151.305,"[2-42], [45-45], [47-70], [72-147], [150-252], [256-259], [262-275], [278-342], [345-450], [453-527], [530-583], [586-605], [608-616], [618-667], [670-761], [763-798], [800-889], [891-893], [896-1055], [1057-1205], [1208-1294], [1297-1328]",122386712.798
208339:3350,280,37427727.9394,"[77-89], [91-122], [125-208], [211-346], [349-363]",36475424.6442
208341:3350,816,74380004.0387,"[1-84], [86-117], [120-513], [515-685], [688-693], [695-775], [777-824]",73096549.6692
208351:3351,283,38981872.8606,"[83-97], [100-356], [359-369]",37849660.6991
208353:3351,346,36034182.8668,"[1-76], [78-269], [271-348]",35510991.3412
208357:3351,505,40407233.0921,"[1-70], [73-507]",40034680.1388
208390:3360,97,15279460.2307,"[72-128], [130-169]",14892712.4224
208391:3360,805,83312944.933,"[52-82], [84-162], [164-216], [219-493], [495-498], [500-523], [526-533], [535-588], [591-660], [663-869]",82405914.4417
208427:3363,580,73849777.1422,"[49-89], [92-161], [164-164], [166-173], [175-268], [271-312], [315-315], [317-335], [337-361], [364-402], [404-422], [425-577], [580-647]",72343810.3097
208428:3363,222,21529148.6134,"[1-58], [61-68], [70-156], [159-227]",21034423.8968
208429:3363,908,65840675.0203,"[1-56], [59-139], [141-159], [162-237], [240-440], [442-452], [455-589], [592-712], [715-922]",65297330.0491
208487:3370,612,75568835.6695,"[2-26], [29-159], [161-307], [309-459], [462-476], [479-621]",74272484.1275
208509:3372,162,1179877.22379,[71-232],1168616.8818
208538:3374,42,6665098.71106,[2-43],6280985.49683
208540:3374,96,13985536.1988,"[1-26], [29-98]",13415762.5624
208541:3374,410,47314083.3117,"[1-57], [59-173], [175-376], [378-413]",46600082.1071
208551:3375,454,58832582.1352,"[119-193], [195-212], [215-300], [303-354], [356-554], [557-580]",57460674.0699
208686:3378,379,53713570.8187,"[73-79], [82-181], [183-224], [227-243], [246-311], [313-459]",52484399.1823
